year,movieid,adj,noun
1975,36685,muscular,man
1982,37917,musician,uncle
1977,985,mutant,child
1999,4951,mysterious,boy
2011,79707,mysterious,boy
2016,283378,mysterious,boy
2012,82990,mysterious,child
2000,10391,mysterious,husband
1970,92233,mysterious,man
1971,30689,mysterious,man
1974,33801,mysterious,man
1975,115131,mysterious,man
1987,6069,mysterious,man
1987,46767,mysterious,man
1990,2612,mysterious,man
1991,70984,mysterious,man
1995,8512,mysterious,man
1995,48781,mysterious,man
2000,92208,mysterious,man
2003,14527,mysterious,man
2006,12526,mysterious,man
2013,179826,mysterious,man
2016,377263,mysterious,man
2017,468198,mysterious,man
2019,513409,mysterious,man
2020,505225,mysterious,man
2017,437109,mysterious,men
2003,9976,naÃ¯ve,boy
1999,61930,naive,guy
2010,44982,naive,man
1994,14334,naked,boy
1978,30888,naked,man
1986,13766,nasa-employed,husband
1996,41852,natural,son
1977,24032,natured,man
1979,21666,naval,husband
1976,19971,neighbor,boy
2020,438396,nerdy,man
2001,10950,neurodivergent,man
1972,4579,new,boy
2000,33504,new,boy
2011,74018,new,boy
1976,108949,new,boyfriend
1982,72574,new,boyfriend
1990,7974,new,boyfriend
1991,41805,new,boyfriend
1991,48636,new,boyfriend
1992,11790,new,boyfriend
2000,1609,new,boyfriend
2008,12182,new,boyfriend
2009,19904,new,boyfriend
2009,24469,new,boyfriend
2011,49950,new,boyfriend
2020,500840,new,boyfriend
2020,654028,new,boyfriend
2020,706510,new,boyfriend
1994,13375,new,brother
1982,16441,new,father
1996,2074,new,father
1985,28410,new,guy
2008,14859,new,guy
1974,24402,new,husband
1986,35634,new,husband
1992,20763,new,husband
2000,10391,new,husband
2005,74,new,husband
2011,50837,new,husband
1975,115131,new,man
2017,412105,new,man
1994,10451,new,men
1976,794,new,son
2001,11456,new,stepfather
2002,14008,new,stepfather
2009,21474,new,stepfather
1998,21348,newborn,boy
1990,32043,newborn,child
2020,508442,newborn,child
2005,11490,newborn,son
2012,118406,newborn,son
2015,310131,newborn,son
2008,12890,next,guy
2007,10030,next,man
1971,29069,nice,guy
1984,12309,nice,guy
1992,39883,nice,guy
1993,39883,nice,guy
1996,11962,nice,guy
1973,11612,nice,guy
1988,34604,nice,men
1987,60797,nine-year-old,boy
1995,11359,nine-year-old,boy
1998,8838,nine-year-old,boy
1999,10386,nine-year-old,boy
2006,9920,nine-year-old,boy
2011,65229,non-conforming,child
1994,18919,nondescript,man
1985,16248,normal,boy
1998,22797,normal,boy
1992,2007,normal,child
2003,13778,normal,guy
2006,2016,north,men
1990,71805,norwegian,boy
2008,4922,not-so-ordinary,man
1982,10676,novelty-salesman,father
1976,28691,nurse,male
2007,48175,nurse,male
1998,12488,nut-case,father
2009,24238,obese,man
1990,36843,odd,man
2012,82679,oddball,brother
1973,154297,old,boy
1976,36892,old,boy
1977,36892,old,boy
1983,7269,old,boy
1985,7011,old,boy
1987,49964,old,boy
1987,57918,old,boy
1991,49410,old,boy
1999,745,old,boy
2001,39180,old,boy
2004,77710,old,boy
2005,4550,old,boy
2016,241258,old,boy
2018,475215,old,boy
2019,491480,old,boy
2006,7457,old,brother
1977,23312,old,father
1984,31401,old,father
1985,31401,old,father
1970,5620,old,man
1970,9554,old,man
1971,42500,old,man
1971,100468,old,man
1973,74817,old,man
1974,38152,old,man
1974,29268,old,man
1977,24032,old,man
1977,48227,old,man
1978,11537,old,man
1978,11537,old,man
1979,10322,old,man
1979,20813,old,man
1980,11680,old,man
1981,42150,old,man
