year,movieid,adj,noun
1977,74949,german,girl
1975,47239,german,housewife
2018,426618,german,mother
1973,3475,german,woman
1974,2204,german,woman
1983,9041,german-born,mother
1986,31947,giant,female
1988,87916,girl,daughter
1989,87916,girl,daughter
1978,78376,glamorous,wife
1978,621,good,girl
2003,16941,good,girl
1977,74949,good-looking,girl
2003,8046,gorgeous,female
1980,10986,gorgeous,girl
1984,40061,gorgeous,girl
1999,4951,gorgeous,girl
1998,24584,gorgeous,girlfriend
1982,32014,gorgeous,lady
1972,121743,gorgeous,wife
2011,85735,gorgeous,wife
2016,340677,gorgeous,wife
1976,2459,gorgeous,woman
1984,11507,gorgeous,woman
1985,11814,gorgeous,woman
1993,11198,gorgeous,woman
2001,1903,gorgeous,woman
2004,9352,gorgeous,woman
2010,46837,gorgeous,woman
1994,11382,grand,dame
1978,59402,grand,daughter
1988,5680,great,aunt
1995,11861,great,aunt
1994,10660,greedy,wife
2012,87825,grown,daughter
2015,254172,grown,daughter
2020,662546,grown,woman
2011,45156,guarded,woman
1990,11796,hairdressers,female
1971,105254,happy,housewife
2014,226486,hard-drinking,grandmother
2009,24469,hard-partying,mother
1982,24740,hard-working,mother
2005,11931,hard-working,sister
1992,60145,hard-working,wife
2013,109431,harmless-looking,woman
2002,10955,harpsichord-playing,girlfriend
2010,35019,harried,mother
2011,73567,hated,mother
1991,9048,hated,sister
1996,8818,hated,woman
2003,15567,hawaiian,girl
2017,435129,headstrong,girl
2004,9953,headstrong,woman
2019,565310,headstrong,woman
2021,632357,hearing-impaired,girl
1990,44257,heartbroken,woman
1984,8221,henpecked,housewife
2004,9806,heroic,wife
2002,15136,high-kicking,female
1981,66788,high-school,girl
1986,85141,high-school,girl
2008,13972,high-society,woman
1997,40413,hiker,female
1995,30718,history,female
2018,442064,hit,woman
2001,10950,homeless,woman
1989,37606,honorable,woman
1970,64721,horse-riding,girl
2006,9718,hot,wife
1981,21764,hotshot,female
2011,72478,hottest,girl
1997,128,human,woman
1998,10216,human,woman
1976,54613,hustler,female
1998,1448,ideal,woman
2003,14926,ignored,daughter
1997,46625,ignored,wife
2003,20,ill,mother
1993,4104,ill,woman
2001,54544,ill-tempered,wife
2013,152599,immigrant,woman
1978,12761,impaired,daughter
2004,15775,impetuous,girlfriend
1995,43612,impossible,wife
1991,68773,impoverished,girl
1982,22023,impoverished,woman
2018,338970,independent,daughter
1973,8703,independent,girl
2002,11544,independent,girl
1983,42106,independent,woman
1994,25645,independent,woman
2011,74513,independent,woman
2012,121936,independent,woman
2007,21943,independent-minded,girl
1991,41791,indian,daughter
1995,30718,indian,female
1998,62589,indian,wife
1991,17990,individualistic,woman
1988,73079,infant,daughter
2000,10564,infant,daughter
2010,52505,infant,daughter
2013,172803,infant,daughter
2016,336455,infected,sister
2006,9920,infected,woman
2019,459992,influential,woman
1974,35718,injured,woman
1994,41582,innocent,girl
2002,2022,innocent,girl
2009,28355,innocent,girl
2021,574060,innocent,girl
1970,4266,innocent,woman
1970,87503,innocent,woman
2021,802443,innocent,woman
1979,118195,insatiable,grandmother
1979,63113,insensitive,mother
1990,41823,insistent,mother
1977,66092,institutionalized,girl
1979,28942,institutionalized,wife
1984,28148,instructor,female
1979,96909,intellectual,wife
2012,84175,intrepid,girl
1988,65015,introspective,woman
1989,65015,introspective,woman
1990,28213,introverted,girl
2021,758866,introverted,woman
2017,416051,intuitive,woman
1993,43636,invisible,woman
1971,31906,isolated,girl
2006,6948,isolated,girl
2014,141043,isolated,mother
2007,52214,italian,girl
1989,11305,italian,woman
2002,5493,japanese,girl
1978,40980,japanese,wife
2009,1977,japanese,woman
1985,35106,japanese-american,wife
1994,51196,jealous,wife
1995,13345,jealous,woman
1986,35866,jewish,girl
2019,515001,jewish,girl
2005,1986,jewish,mother
1973,3475,jewish,woman
1977,82299,jewish,woman
2001,1591,jewish,woman
1977,39987,jews,female
1979,18142,journalist,female
1995,48287,junior-high-school,girl
1975,121513,jury,female
1970,28733,just-dead,mother
1971,482,kidnapped,daughter
1975,44864,kidnapped,daughter
1995,2086,kidnapped,daughter
2008,13387,kidnapped,daughter
2019,480042,kidnapped,daughter
1995,10348,kidnapped,sister
2007,2312,kidnapped,wife
2013,146227,kidnapped,wife
2003,504,killer,female
2011,73456,kind-hearted,girl
1992,32517,kung-fu,wife
1985,40913,last,woman
2015,193687,last,woman
2012,84200,late,grandmother
1972,69872,late,mother
1977,25623,late,mother
1993,34723,late,mother
1995,19101,late,mother
1995,880,late,mother
2008,12837,late,mother
1974,42448,late,wife
2002,2755,late,wife
2002,10052,late,wife
2009,25643,late,wife
2020,505379,late,wife
2005,308,latest,girlfriend
2020,651070,law-abiding,woman
1986,66600,lead,female
1992,10377,leather-clad,girlfriend
1974,39885,lesbian,mother
1995,8391,liberal,woman
2001,10050,life-long,girlfriend
1980,40102,lingerie-clad,woman
1981,109962,literary,woman
1972,4792,little,daughter
1987,2172,little,daughter
1988,87916,little,daughter
1989,87916,little,daughter
1972,15242,little,girl
1972,21036,little,girl
1973,4495,little,girl
1973,89351,little,girl
1976,60767,little,girl
1980,80624,little,girl
1981,49245,little,girl
1982,49245,little,girl
1983,126597,little,girl
1984,47874,little,girl
1986,2265,little,girl
1989,55377,little,girl
1990,25943,little,girl
1990,146541,little,girl
1993,62463,little,girl
1994,41582,little,girl
1994,21352,little,girl
1995,11980,little,girl
1995,46785,little,girl
1996,52263,little,girl
1997,134446,little,girl
1998,36568,little,girl
2002,11544,little,girl
2003,470,little,girl
2003,15567,little,girl
2005,14784,little,girl
2005,13933,little,girl
2006,14784,little,girl
2006,10886,little,girl
2010,40205,little,girl
2010,51608,little,girl
2010,44683,little,girl
2010,44683,little,girl
2010,38843,little,girl
2013,117251,little,girl
2013,132232,little,girl
2015,309809,little,girl
2015,314402,little,girl
2016,374461,little,girl
2017,396422,little,girl
2018,505192,little,girl
2018,475215,little,girl
2003,7288,little,lady
1971,11945,little,sister
1978,16642,little,sister
1978,29530,little,sister
1981,9589,little,sister
1982,601,little,sister
2002,21518,little,sister
2005,43960,little,sister
2016,408033,little,sister
2016,347882,little,sister
2017,203835,little,sister
2018,475215,little,sister
1981,54118,live-in,female
1990,29514,live-in,girlfriend
2015,261392,live-in,girlfriend
2015,291270,lively,woman
1970,27313,local,girl
1972,55783,local,girl
1991,24789,local,girl
1982,32014,local,lady
2001,1999,local,mother
1973,26329,local,woman
1980,6028,local,woman
1981,14269,local,woman
1987,96920,local,woman
1993,1587,local,woman
2000,2046,local,woman
2004,1913,local,woman
2005,10092,local,woman
2012,79697,local,woman
1975,121513,lone,female
1979,21666,lonely,girl
2018,523777,lonely,girl
1976,44012,lonely,housewife
1997,18080,lonely,lady
1982,20980,lonely,woman
1986,54898,lonely,woman
1988,47429,lonely,woman
1974,86889,long,wife
1983,10576,long-dead,mother
1992,6114,long-dead,wife
2014,203834,long-deceased,mother
2017,429189,long-estranged,daughter
2009,1977,long-haired,woman
1984,40061,long-lost,daughter
2012,58244,long-lost,girl
2012,123377,long-lost,mother
2021,609972,long-lost,mother
2015,354251,long-lost,sister
1994,31643,long-suffering,girl
1998,36136,long-suffering,girlfriend
2006,8194,long-suffering,mother
1983,83486,long-suffering,wife
2009,39414,long-suffering,wife
1984,12309,longtime,girlfriend
1995,11472,longtime,girlfriend
2019,457799,longtime,girlfriend
2018,345887,long-time,girl
1990,146541,lost,girl
1990,9548,loudmouthed,lady
1982,168040,lovely,girl
1981,42145,lovely,wife
1980,106924,lovely,woman
1989,38695,lovely,woman
1988,24679,loving,wife
1999,24137,loving,wife
2011,49520,loving,wife
2015,307081,loving,wife
1995,14785,lower-caste,girl
1989,2616,loyal,girlfriend
2019,537915,loyal,girlfriend
1972,5916,loyal,wife
2006,10025,luckiest,woman
1979,42573,lusty,woman
1994,87689,magical,sister
1988,65015,maladjusted,sister
1989,65015,maladjusted,sister
1982,12614,male,female
